team,stadium,capacity
Man United,Old Trafford,75653
Arsenal,Emirates Stadyumu,60361
Newcastle,St James' Park,52409
Man City,Etihad Stadium,47405
Liverpool,Anfield,45276
Aston Villa,Villa Park,42786
Chelsea,Stamford Bridge,42449
Everton,Goodison Park,40157
Tottenham,White Hart Lane,36230
West Ham,The Boleyn Ground,35303
Southampton,St Mary's Stadium,32689
Leicester,King Power Stadyumu,32312
Nott'm Forest,City Ground,30576
Ipswich,Portman Road,30311
Crystal Palace,Selhurst Park,26225
Fulham,Craven Cottage,25700
Wolves,Molineux,24259
Brighton,Falmer Stadyumu,22500
Brentford,Griffin Park,12763
Bournemouth,Dean Court,9776
Liverpool,Stanley Park Stadium,6300073000
West Ham,Londra Stadyumu,60000
Tottenham,Northumberland Development Project (resmî ismi değildir),56250
Everton,Everton Kirkby Project (resmî proje ismi),50400
