date,league,season,season_type,covid,home_team,away_team,home_goals,away_goals,result,home_last3_points,away_last3_points,result_label,home_form_group,away_form_group,stadium,capacity,ht_home_goals,ht_away_goals,ht_result
2020-08-21,Ligue 1,2020_2021,covid,1,Bordeaux,Nantes,0,0,D,0,0,Draw,bad,bad,NA,NA,0.0,0.0,D
2020-08-22,Ligue 1,2020_2021,covid,1,Dijon,Angers,0,1,A,0,0,Away Win,bad,bad,NA,NA,0.0,1.0,A
2020-08-22,Ligue 1,2020_2021,covid,1,Lille,Rennes,1,1,D,0,0,Draw,bad,bad,Stade Borne de l'Espoir,50186.0,1.0,0.0,H
2020-08-23,Ligue 1,2020_2021,covid,1,Lorient,Strasbourg,3,1,H,0,0,Home Win,bad,bad,NA,NA,0.0,1.0,A
2020-08-23,Ligue 1,2020_2021,covid,1,Monaco,Reims,2,2,D,0,0,Draw,bad,bad,NA,NA,1.0,2.0,A
2020-08-23,Ligue 1,2020_2021,covid,1,Nice,Lens,2,1,H,0,0,Home Win,bad,bad,Grand Stade Nice,35624.0,1.0,1.0,D
2020-08-23,Ligue 1,2020_2021,covid,1,Nimes,Brest,4,0,H,0,0,Home Win,bad,bad,NA,NA,2.0,0.0,H
2020-08-28,Ligue 1,2020_2021,covid,1,Lyon,Dijon,4,1,H,0,0,Home Win,bad,bad,Gerland Stadyumu,41044.0,3.0,1.0,H
2020-08-29,Ligue 1,2020_2021,covid,1,Rennes,Montpellier,2,1,H,1,0,Home Win,bad,bad,Stade de la Route de Lorient,31127.0,1.0,0.0,H
2020-08-29,Ligue 1,2020_2021,covid,1,Strasbourg,Nice,0,2,A,0,3,Away Win,bad,bad,Meinau Stadyumu,29230.0,0.0,1.0,A
2020-08-30,Ligue 1,2020_2021,covid,1,Angers,Bordeaux,0,2,A,3,1,Away Win,bad,bad,NA,NA,0.0,2.0,A
2020-08-30,Ligue 1,2020_2021,covid,1,Brest,Marseille,2,3,A,0,0,Away Win,bad,bad,NA,NA,1.0,2.0,A
2020-08-30,Ligue 1,2020_2021,covid,1,Metz,Monaco,0,1,A,0,1,Away Win,bad,bad,NA,NA,0.0,1.0,A
2020-08-30,Ligue 1,2020_2021,covid,1,Nantes,Nimes,2,1,H,1,3,Home Win,bad,bad,Beaujoire Stadyumu,38285.0,2.0,0.0,H
2020-08-30,Ligue 1,2020_2021,covid,1,Reims,Lille,0,1,A,1,1,Away Win,bad,bad,Stade Auguste-Delaune II,21684.0,0.0,1.0,A
2020-08-30,Ligue 1,2020_2021,covid,1,St Etienne,Lorient,2,0,H,0,3,Home Win,bad,bad,NA,NA,1.0,0.0,H
2020-09-10,Ligue 1,2020_2021,covid,1,Lens,Paris SG,1,0,H,0,0,Home Win,bad,bad,Stade Félix Bollaert,41233.0,0.0,0.0,D
2020-09-11,Ligue 1,2020_2021,covid,1,Bordeaux,Lyon,0,0,D,4,3,Draw,medium,bad,NA,NA,0.0,0.0,D
2020-09-12,La Liga,2020_2021,covid,1,Cadiz,Osasuna,0,2,A,0,0,Away Win,bad,bad,NA,NA,0.0,1.0,A
2020-09-12,La Liga,2020_2021,covid,1,Eibar,Celta,0,0,D,0,0,Draw,bad,bad,NA,NA,0.0,0.0,D
2020-09-12,La Liga,2020_2021,covid,1,Granada,Ath Bilbao,2,0,H,0,0,Home Win,bad,bad,NA,NA,0.0,0.0,D
2020-09-12,Ligue 1,2020_2021,covid,1,Montpellier,Nice,3,1,H,0,6,Home Win,bad,medium,Stade de la Mosson,32939.0,1.0,0.0,H
2020-09-12,Ligue 1,2020_2021,covid,1,St Etienne,Strasbourg,2,0,H,3,0,Home Win,bad,bad,NA,NA,0.0,0.0,D
2020-09-12,Premier League,2020_2021,covid,1,Crystal Palace,Southampton,1,0,H,0,0,Home Win,bad,bad,Selhurst Park,26225.0,1.0,0.0,H
2020-09-12,Premier League,2020_2021,covid,1,Fulham,Arsenal,0,3,A,0,0,Away Win,bad,bad,Craven Cottage,25700.0,0.0,1.0,A
2020-09-12,Premier League,2020_2021,covid,1,Liverpool,Leeds,4,3,H,0,0,Home Win,bad,bad,Anfield,45276.0,3.0,2.0,H
2020-09-12,Premier League,2020_2021,covid,1,West Ham,Newcastle,0,2,A,0,0,Away Win,bad,bad,The Boleyn Ground,35303.0,0.0,0.0,D
2020-09-13,La Liga,2020_2021,covid,1,Alaves,Betis,0,1,A,0,0,Away Win,bad,bad,Mendizorrotza,19900.0,0.0,0.0,D
2020-09-13,La Liga,2020_2021,covid,1,Valencia,Levante,4,2,H,0,0,Home Win,bad,bad,Mestalla,55000.0,2.0,2.0,D
2020-09-13,La Liga,2020_2021,covid,1,Valladolid,Sociedad,1,1,D,0,0,Draw,bad,bad,José Zorilla,26512.0,1.0,0.0,H
2020-09-13,La Liga,2020_2021,covid,1,Villarreal,Huesca,1,1,D,0,0,Draw,bad,bad,El Madrigal,26000.0,0.0,1.0,A
