team,stadium,capacity
Roma,Campo Testaccio,20000
Juventus,Juventus Stadium,41507
Cagliari,Unipol Domus,16233
Cagliari,Stadio Amsicora,29000
Fiorentina,Stadio Artemio Franchi,43147
Napoli,Stadio Arturo Collana,12000
Atalanta,Stadio Atleti Azzurri d'Italia,26562
Monza,Stadio Brianteo,15039
Empoli,Stadio Carlo Castellani,21092
Juventus,Stadio di Corso Marsiglia,15000
Juventus,Stadio di Corso Sebastopoli,10000
Napoli,Stadio Diego Armando Maradona,54726
Parma,Stadio Ennio Tardini,27906
Torino,Stadio Filadelfia,4000
Udinese,Stadio Friuli,25144
Como,Stadio Giuseppe Sinigaglia,13602
Napoli,Stadio Militare dell'Arenaccia,3000
Udinese,Stadio Moretti,25000
Napoli,Stadio Partenopeo,40000
Venezia,Stadio Pier Luigi Penzo,7450
Bologna,Stadio Renato Dall'Ara,38279
Cagliari,Stadio Sant'Elia,16233
Lecce,Stadio Via del Mare,40670
