team,stadium,capacity
Barcelona,Camp Nou,99354
Real Madrid,Santiago Bernabéu,80354
Valencia,Mestalla,55000
Ath Madrid,Vicente Calderón,54851
Betis,Benito Villamarín,52745
Sevilla,Ramón Sánchez Pizjuán,48649
Las Palmas,Gran Canaria,32520
Sociedad,Anoeta,32076
Valladolid,José Zorilla,26512
Villarreal,El Madrigal,26000
Mallorca,Son Moix Stadyumu,23142
Alaves,Mendizorrotza,19900
Osasuna,Reyno de Navarra,19800
Getafe,Alfonso Pérez,16000
Vallecano,Teresa Rivero,15000
Girona,Montilivi,9500
Valencia,Nou Mestalla,750
Ath Madrid,Estadio La Peineta,700
Mallorca,Nou Lluís Sitjar,320
