#,Resim,Stadyum,Kapasite,Şehir,Bölge,Ev Sahibi Takım,Açılış,gtdFransa'da futbol,gtdFransa'da futbol.1,gtdAvrupa'daki futbol stadyumu listeleri,gtdAvrupa'daki futbol stadyumu listeleri.1
1.0,,Fransa Stadyumu,81338,Paris,Île-de-France,Fransa millî futbol takımı,1998.0,,,,
2.0,,Vélodrome Stadyumu,60013,Marsilya,Provence-Alpes-Côte d'Azur,Marseille,1937.0,,,,
3.0,,Prensler Parkı,48712,Paris,Île-de-France,Paris Saint-Germain,1897.0,,,,
4.0,,Stade Félix Bollaert,41233,Lens,Nord-Pas-de-Calais,RC Lens,1932.0,,,,
5.0,,Gerland Stadyumu,41044,Lyon,Rhône-Alpes,Olympique Lyonnais,1926.0,,,,
6.0,,Beaujoire Stadyumu,38285,Nantes,Pays de la Loire,Nantes,1984.0,,,,
7.0,,Geoffroy Guichard Stadyumu,35616,Saint-Étienne,Rhône-Alpes,Saint-Étienne,1931.0,,,,
8.0,,Belediye Stadyumu (Toulouse),35575,Toulouse,Midi-Pyrénées,Toulouse FC,1937.0,,,,
9.0,,Chaban-Delmas Stadyumu,34462,Bordeaux,Aquitaine,Bordeaux,1938.0,,,,
10.0,,Stade de la Mosson,"32,939[1]",Montpellier,Languedoc-Roussillon,Montpellier HSC,1972.0,,,,
11.0,,Stade de la Route de Lorient,31127,Rennes,Brittany,Rennes,1912.0,,,,
12.0,,Meinau Stadyumu,29230,Strazburg,Alsace,Strasbourg,1914.0,,,,
13.0,,Stade Municipal Saint-Symphorien,"26,700[2]",Metz,Lorraine,FC Metz,1923.0,,,,
14.0,,MMArena,25000,Le Mans,Pays de la Loire,Le Mans,2011.0,,,,
15.0,-,Stade du Hainaut,25000,Valenciennes,Nord-Pas-de-Calais,Valenciennes,2011.0,,,,
16.0,,Stade de l'Abbé-Deschamps,23467,Auxerre,Bourgogne,Auxerre,1918.0,,,,
17.0,,Louis Dugauguez Stadyumu,23189,Sedan,Champagne-Ardenne,Sedan,2000.0,,,,
18.0,,Stade Michel d'Ornano,21500,Caen,Aşağı Normandiya,Caen,1993.0,,,,
19.0,,Stade Auguste-Delaune II,21684,Reims,Champagne-Ardenne,Stade de Reims,2008.0,,,,
20.0,,Aube Stadyumu,20400,Troyes,Champagne-Ardenne,Troyes,1956.0,,,,
