#,Resim,Stadyum,Kapasite,Şehir,Eyalet,Ev sahibi takım,Açılış,gtdAlmanya'da futbol,gtdAlmanya'da futbol.1,gtdAvrupa'daki futbol stadyumu listeleri,gtdAvrupa'daki futbol stadyumu listeleri.1
1.0,,Signal Iduna Park,81.359[1],Dortmund,Kuzey Ren-Vestfalya,Borussia Dortmund,1974.0,,,,
2.0,,Allianz Arena,75.000[2],Münih,Bavyera,"Bayern München, TSV 1860 München",2005.0,,,,
3.0,,Olympiastadion Berlin,74.475[3],Berlin,Berlin,Hertha Berlin,1936.0,,,,
4.0,,Münih Olimpiyat Stadyumu,69.250[4],Münih,Bavyera,-,1972.0,,,,
5.0,,Veltins-Arena,62.271,Gelsenkirchen,Kuzey Ren-Vestfalya,Schalke 04,2001.0,,,,
6.0,,MHPArena,60.469,Stuttgart,Baden-Württemberg,VfB Stuttgart,1933.0,,,,
7.0,,Imtech Arena,57.030,Hamburg,Hamburg,Hamburg,1953.0,,,,
8.0,,Esprit Arena,54.600,Düsseldorf,Kuzey Ren-Vestfalya,Fortuna Düsseldorf,2005.0,,,,
9.0,,Stadion im Borussia-Park,54.067,Mönchengladbach,Kuzey Ren-Vestfalya,Borussia Mönchengladbach,2004.0,,,,
10.0,,Frankfurt Stadyumu,52.300,Frankfurt,Hessen,Eintracht Frankfurt,1925.0,,,,
11.0,,Franken Stadyumu,50.000,Nürnberg,Bavyera,1. FC Nürnberg,1928.0,,,,
12.0,,RheinEnergie Stadyumu,49.968[5],Köln,Kuzey Ren-Vestfalya,1. FC Köln,1923.0,,,,
13.0,,Fritz Walter Stadyumu,49.780,Kaiserslautern,Renanya-Palatina,1. FC Kaiserslautern,1920.0,,,,
14.0,,Heinz-von-Heiden-Arena,49.000,Hannover,Aşağı Saksonya,Hannover 96,1954.0,,,,
15.0,,Red Bull Arena,44.345,Leipzig,Saksonya,RB Leipzig,1954.0,,,,
16.0,,Weser Stadyumu,42.358,Bremen,Bremen,Werder Bremen,1947.0,,,,
17.0,,Ludwigsparkstadion,35.303,Saarbrücken,Saarland,1. FC Saarbrücken,1953.0,,,,
18.0,,Grotenburg Stadion,34.500,Krefeld,Kuzey Ren-Vestfalya,KFC Uerdingen 05,1927.0,,,,
19.0,,Mainz Arena,34.034,Mainz,Renanya-Palatina,1. FSV Mainz 05,2011.0,,,,
20.0,,New Tivoli,32.960,Aachen,Kuzey Ren-Vestfalya,Alemannia Aachen,2009.0,,,,
21.0,,Rudolf-Harbig-Stadion,32.066,Dresden,Saksonya,Dynamo Dresden,1923.0,,,,
22.0,,MSV Arena,31.500,Duisburg,Kuzey Ren-Vestfalya,MSV Duisburg,2004.0,,,,
23.0,,Impuls Arena,30.660,Augsburg,Bavyera,FC Augsburg,2009.0,,,,
24.0,,BayArena,30.210,Leverkusen,Kuzey Ren-Vestfalya,Bayer 04 Leverkusen,1958.0,,,,
25.0,,Rhein-Neckar-Arena,30.164,Sinsheim,Baden-Württemberg,1899 Hoffenheim,2009.0,,,,
26.0,,Volkswagen Arena,30.000,Wolfsburg,Aşağı Saksonya,VfL Wolfsburg,2002.0,,,,
27.0,,Wildparkstadion,29.699,Karlsruhe,Baden-Württemberg,Karlsruher SC,1923.0,,,,
28.0,,Millerntor-Stadion,29.546[6],Hamburg,Hamburg,FC St. Pauli,1963.0,,,,
29.0,,Ruhrstadion,29.448,Bochum,Kuzey Ren-Vestfalya,VfL Bochum,1979.0,,,,
30.0,,DKB-Arena,29.000,Rostock,Mecklenburg-Vorpommern,Hansa Rostock,1954.0,,,,
31.0,,SchücoArena,27.300,Bielefeld,Kuzey Ren-Vestfalya,DSC Arminia Bielefeld,1926.0,,,,
32.0,,MDCC-Arena,27.250,Magdeburg,Saksonya-Anhalt,Magdeburg,2006.0,,,,
33.0,,Carl-Benz-Stadion,26.022,Mannheim,Baden-Württemberg,SV Waldhof Mannheim,1994.0,,,,
34.0,,Kara Orman Stadyumu,24.036,Freiburg,Baden-Württemberg,SC Freiburg,1953.0,,,,
35.0,,Ellenfeldstadion,23.400,Neunkirchen,Saarland,Borussia Neunkirchen,1912.0,,,,
36.0,,Eintracht-Stadion,23.325,Braunschweig,Aşağı Saksonya,Eintracht Braunschweig,1923.0,,,,
37.0,,Stadion am Zoo,23.067,Wuppertal,Kuzey Ren-Vestfalya,Wuppertaler SV,1924.0,,,,
38.0,,Stadion der Freundschaft,22.528,Cottbus,Brandenburg,Energie Cottbus,1930.0,,,,
39.0,,Stadion An der Alten Försterei,22.012,Berlin,Berlin,Union Berlin,1966.0,,,,
40.0,,Waldstadion Homburg,21.813,Homburg,Saarland,FC 08 Homburg,1937.0,,,,
41.0,,Hans-Walter-Wild-Stadion,21.500,Bayreuth,Bavyera,Oberfranken Bayreuth,1967.0,,,,
42.0,,Niederrheinstadion,21.318,Oberhausen,Kuzey Ren-Vestfalya,Rot-Weiß Oberhausen,1926.0,,,,
43.0,,Stadion Essen,20.650,Essen,Kuzey Ren-Vestfalya,Rot-Weiss Essen,2012.0,,,,
44.0,,Sparda Bank Hessen Stadyumu,20.500,Offenbach am Main,Hessen,Kickers Offenbach,2012.0,,,,
45.0,,Paul Greifzu Stadyumu,20.000,Dessau,Saksonya-Anhalt,SV Dessau 05,1952.0,,,,
,,,,,,,,Almanya Futbol Federasyonu,Almanya Futbol Federasyonu,,
,,,,,,,,Lig müsabakaları,Bundesliga 2. Bundesliga 3. Liga Regionalliga Oberliga Verbandsliga Landesliga Bezirksoberliga,,
,,,,,,,,Kupa müsabakaları,DFB-Pokal DFL-Ligapokal DFL-Supercup,,
,,,,,,,,Millî takımlar,Millî takım Gençler U-20 U-21 Kadın,,
,,,,,,,,Yılın Teknik Direktörü Yılın Futbolcusu Kulüpler Stadyumlar Avrupa kupaları,Yılın Teknik Direktörü Yılın Futbolcusu Kulüpler Stadyumlar Avrupa kupaları,,
