Stadium,Image,Club,Location,Opened,Closed,Capacity,vteSerie A venues,vteSerie A venues.1,vteSerie A,vteSerie A.1
Arena Garibaldi – Stadio Romeo Anconetani,,Pisa,Pisa,1919.0,,25000,,,,
Campo degli Sports,,Bari,Bari,1925.0,1967.0,10000,,,,
Campo Testaccio,,Roma,Rome,1914.0,1940.0,20000,,,,
Juventus Stadium,,Juventus,Turin,2011.0,,"41,507[1]",,,,
Mapei Stadium – Città del Tricolore,,Sassuolo and Reggiana,Reggio Emilia,1995.0,,23717,,,,
San Siro also known as the Stadio Giuseppe Meazza,,Milan and Internazionale,Milan,1926.0,,80018,,,,
Unipol Domus,,Cagliari,Cagliari,2017.0,,16233,,,,
Stadio Adriatico – Giovanni Cornacchia,,Pescara,Pescara,1955.0,,20515,,,,
Stadio Alberto Braglia,,(Carpi) and Modena,Modena,1936.0,,21092,,,,
Stadio Alberto Picco,,Spezia,La Spezia,1919.0,,10336,,,,
Stadio delle Alpi,,Juventus and Torino,Turin,1990.0,2006.0,69295,,,,
Stadio Amsicora,,Cagliari,Cagliari,1923.0,1970.0,29000,,,,
Stadio Angelo Massimino,,Catania,Catania,1937.0,,23266,,,,
Stadio Arechi,,Salernitana,Salerno,1990.0,,31300,,,,
Stadio Armando Picchi,,Livorno,Livorno,1935.0,,19238,,,,
Stadio Artemio Franchi,,Fiorentina,Florence,1931.0,,43147,,,,
Stadio Artemio Franchi – Montepaschi Arena,,Siena,Siena,1923.0,,15373,,,,
Stadio Arturo Collana,,Napoli,Naples,1929.0,1959.0,12000,,,,
Stadio Atleti Azzurri d'Italia,,Atalanta,Bergamo,1928.0,,26562,,,,
Stadio Benito Stirpe,,Frosinone,Frosinone,2017.0,,16227,,,,
Stadio Brianteo,,Monza,Monza,1988.0,,15039,,,,
Stadio Carlo Castellani,,Empoli,Empoli,1923.0,,21092,,,,
Stadio Carlo Speroni,,Pro Patria,Busto Arsizio,1927.0,,5000,,,,
Stadio Cino e Lillo Del Duca,,Ascoli,Ascoli,1962.0,,20550,,,,
Stadio Ciro Vigorito,,Benevento,Benevento,1979.0,,25554,,,,
Stadio del Conero,,Ancona,Ancona,1992.0,,23967,,,,
Stadio di Corso Marsiglia,,Juventus,Turin,1922.0,1933.0,15000,,,,
Stadio di Corso Sebastopoli,,Juventus,Turin,1908.0,1922.0,10000,,,,
Stadio Danilo Martelli,,Mantova,Mantua,1949.0,,17844,,,,
Stadio Diego Armando Maradona,,Napoli,Naples,1959.0,,54726,,,,
Stadio Dino Manuzzi,,Cesena,Cesena,1957.0,,23860,,,,
Stadio Donato Vestuti,,Salernitana,Salerno,1931.0,1990.0,9000,,,,
Stadio Ennio Tardini,,Parma,Parma,1923.0,,27906,,,,
Stadio Enrico Patti,,Novara,Novara,1931.0,1976.0,2030,,,,
Stadio Euganeo,,Padova,Padova,1994.0,,32420,,,,
Stadio Filadelfia,,Torino,Turin,1926.0,1963.0,4000,,,,
Stadio Franco Ossola,,Varese,Varese,1925.0,,8213,,,,
Stadio Friuli,,Udinese,Udine,1976.0,,25144,,,,
Stadio Giovanni Celeste,,Messina,Messina,1932.0,2004.0,12000,,,,
Stadio Giovanni Mari,,Legnano,Legnano,1921.0,,5000,,,,
Stadio Giovanni Zini,,Cremonese,Cremona,1929.0,,20641,,,,
