#,Resim,Stadyum,Kapasite,Şehir,Özerk topluluk,Ev Sahibi Takım,Açılış,Sıra,Başlangıç/bitiş,gtdİspanya'da futbol,gtdİspanya'da futbol.1,gtdAvrupa'daki futbol stadyumu listeleri,gtdAvrupa'daki futbol stadyumu listeleri.1
1.0,,Camp Nou,99.354,Barselona,Katalonya,Barcelona,1957.0,,,,,,
2.0,,Santiago Bernabéu,80.354,Madrid,Madrid,Real Madrid,1947.0,,,,,,
3.0,,Estadio de la Cartuja,57.619,Sevilla,Endülüs,yok; bazen İspanya maçları,1999.0,,,,,,
4.0,,Lluís Companys,55.926,Barselona,Katalonya,yok; bazen İspanya maçları,1927.0,,,,,,
5.0,,Mestalla,55.000,Valensiya,Valencia,Valencia,1923.0,,,,,,
6.0,,Vicente Calderón,54.851,Madrid,Madrid,Atlético Madrid,1966.0,,,,,,
7.0,,Benito Villamarín,52.745,Sevilla,Endülüs,Real Betis,1929.0,,,,,,
8.0,,Ramón Sánchez Pizjuán,48.649,Sevilla,Endülüs,Sevilla FC,1957.0,,,,,,
9.0,,RCDE Stadyumu,40.500,Barselona,Katalonya,Espanyol,2009.0,,,,,,
10.0,,San Mamés,40.000,Bilbao,Bask,Athletic Bilbao,1913.0,,,,,,
11.0,,Manuel Martínez Valero,38.750,Elche,Valencia,Elche CF,1976.0,,,,,,
12.0,,Riazor,34.600,A Coruña,Galiçya,RC Deportivo de La Coruña,1944.0,,,,,,
13.0,,La Romareda,34.596,Zaragoza,Aragon,Real Zaragoza,1957.0,,,,,,
14.0,,Nueva Condomina,33.045,Murcia,Murcia,Real Murcia,2006.0,,,,,,
15.0,,Gran Canaria,32.520,Las Palmas,Kanarya Adaları,UD Las Palmas,2003.0,,,,,,
16.0,,Anoeta,32.076,San Sebastián,Bask,Real Sociedad,1993.0,,,,,,
17.0,,Balaídos,31.800,Vigo,Galiçya,Celta Vigo,1928.0,,,,,,
18.0,,Carlos Tartiere,30.500,Oviedo,Asturias,Real Oviedo,2000.0,,,,,,
19.0,,José Rico Pérez,29.584,Alicante,Valencia,"Hércules CF, Alicante CF",1974.0,,,,,,
20.0,,El Molinón,29.538,Gijón,Asturias,Real Sporting de Gijón,1908.0,,,,,,
21.0,,La Rosaleda,28963,Málaga,Endülüs,Málaga CF,1941.0,,,,,,
22.0,,José Zorilla,26.512,Valladolid,Kastilya ve Leon,Valladolid,1982.0,,,,,,
23.0,,El Madrigal,26.000,Villarreal,Valencia,Villarreal CF,1923.0,,,,,,
24.0,,Ciutat de Valencia,25.400,Valensiya,Valencia,Levante UD,1969.0,,,,,,
25.0,,Son Moix Stadyumu,23.142,Palma,Balear Adaları,Mallorca,1999.0,,,,,,
26.0,,Heliodoro Rodríguez López,23.000,Tenerife,Kanarya Adaları,CD Tenerife,1925.0,,,,,,
27.0,,El Sardinero,22.100,Santander,Kantabria,Racing de Santander,1988.0,,,,,,
28.0,,Ramón de Carranza,22.000,Cádiz,Endülüs,Cádiz CF,1955.0,,,,,,
29.0,,Chapín,21.400,Jerez de la Frontera,Endülüs,Xerez CD,1988.0,,,,,,
30.0,,Estadio del Mediterráneo,21.350,Almería,Endülüs,UD Almería,2004.0,,,,,,
31.0,,Nova Creu Alta,20.000,Sabadell,Katalonya,CE Sabadell FC,1967.0,,,,,,
32.0,,Mendizorrotza,19.900,Vitoria-Gasteiz,Bask,Deportivo Alavés,1924.0,,,,,,
33.0,,Nuevo Colombino,19.860,Huelva,Endülüs,Recreativo,2001.0,,,,,,
34.0,,Reyno de Navarra,19.800,Pamplona,Navarra,CA Osasuna,1967.0,,,,,,
35.0,,Estadi Balear,18.000,Palma de Mallorca,Balear Adaları,CD Atlético Baleares,1960.0,,,,,,
36.0,,Nou Castalia,18.000,Castellón de la Plana,Valencia,CD Castellón,1987.0,,,,,,
37.0,,Narcís Sala,18.000,Barselona,Katalonya,UE Sant Andreu,1970.0,,,,,,
38.0,,El Helmántico,17.341,Salamanca,Kastilya ve Leon,UD Salamanca,1970.0,,,,,,
39.0,,Carlos Belmonte,17.000,Albacete,Kastilya-La Mancha,Albacete Balompié,1960.0,,,,,,
40.0,,Los Carmenes,22.524 [1],Granada,Endülüs,Granada CF,1995.0,,,,,,
41.0,,Estadio Las Gaunas,16.000,Logroño,La Rioja,UD Logroñés,2002.0,,,,,,
42.0,,Alfonso Pérez,16.000,Getafe,Madrid,Getafe CF,1998.0,,,,,,
43.0,,Nuevo Arcángel,15.425,Córdoba,Endülüs,Córdoba CF,1994.0,,,,,,
44.0,,Mini Estadi,15.276,Barselona,Katalonya,FC Barcelona B,1982.0,,,,,,
45.0,,Cartagonova,15.105,Cartagena,Murcia,FC Cartagena,1987.0,,,,,,
46.0,,Teresa Rivero,15.000,Madrid,Madrid,Rayo Vallecano,1976.0,,,,,,
47.0,,Romano,14.600,Mérida,Ekstremadura,"Mérida UD, Imperio",1954.0,,,,,,
48.0,,Nuevo Vivero,14.500,Badajoz,Ekstremadura,CD Badajoz,1998.0,,,,,,
49.0,,El Soto,14.000,Móstoles,Madrid,CD Móstoles,1981.0,,,,,,
50.0,,El Plantío,14.000,Burgos,Kastilya ve Leon,Burgos CF,1964.0,,,,,,
51.0,,Camp d'Esports,13.500,Lleida,Katalonya,UE Lleida,1909.0,,,,,,
52.0,,San Lázaro,13.500,S. Compostela,Galiçya,SD Compostela,1993.0,,,,,,
53.0,,Reino de León,13.451,Kastilya ve León,Kastilya ve Leon,Cultural y Deportiva Leonesa,2001.0,,,,,,
54.0,,La Victoria,12.589,Jaén,Endülüs,Real Jaén,2001.0,,,,,,
55.0,,Pasarón,12.500,Pontevedra,Galiçya,Pontevedra CF,1965.0,,,,,,
56.0,,Juan Rojas,12.500,Almería,Endülüs,UD Almería B,1976.0,,,,,,
57.0,,A Malata,12.042,Ferrol,Galiçya,Racing de Ferrol,1993.0,,,,,,
58.0,,Nou Estadi,12.000,Tarragona,Katalonya,CG Tarragona,1972.0,,,,,,
59.0,,Álvarez Claro,12.000,Melilla,Melilla,UD Melilla,1933.0,,,,,,
60.0,,Linarejos,12.000,Linares,Endülüs,Linares Deportivo,1956.0,,,,,,
61.0,,Olímpic de Terrassa,11.500,Terrassa,Katalonya,Terrassa FC,1960.0,,,,,,
62.0,,Francisco de la Hera,11.000,Almendralejo,Ekstremadura,Extremadura UD,1996.0,,,,,,
63.0,,Camp del Centenari,10.000,Badalona,Katalonya,CF Badalona,1972.0,,,,,,
64.0,,Bahía Sur,10.000,"San Fernando, Cádiz",Endülüs,San Fernando CD,1992.0,,,,,,
65.0,,Municipal La Línea,10.000,La Línea de la Concepción,Endülüs,RB Linense,1969.0,,,,,,
66.0,,José Antonio Elola,10.000,Tudela,Navarra,CD Tudelano,1969.0,,,,,,
67.0,,Estadio Los Pajaritos,9.500,Soria,Kastilya ve Leon,CD Numancia,1999.0,,,,,,
68.0,,Montilivi,9.500,Girona,Katalonya,Girona FC,1970.0,,,,,,
69.0,,Can Misses,9.500,Ibiza,Balear Adaları,UD Ibiza-Eivissa,1957.0,,,,,,
70.0,,El Toralín,8.200,Ponferrada,Kastilya ve Leon,SD Ponferradina,2000.0,,,,,,
71.0,,La Nueva Balastera,8.100,Palencia,Kastilya ve Leon,CF Palencia,1943.0,,,,,,
72.0,,Lasesarre,8.000,Barakaldo,Bask,Barakaldo CF,2001.0,,,,,,
